species	# of seq	nuc. identity	length per AE10300	Clade
Leptospira	nan	nan	None	None
abararensis	0.0	0.0	0	None
abarensis	nan	nan	None	S1
adleri	1.0	100.0	0100.0	P1
ainazelensis	1.0	100.0	0100.0	P1
ainlahdjerensis	1.0	100.0	0100.0	P1
alexanderi	1.0	100.0	0100.0	P1
alstonii	1.0	100.0	0100.0	P1
andrefontaineae	nan	nan	None	P2
bandrabouensis	nan	nan	None	S1
barantonii	1.0	100.0	0100.0	P1
biflexa	0.0	0.0	0	S1
borgpetersenii	1.0	100.0	0100.0	P1
bourretii	nan	nan	None	S1
bouyouniensis	nan	nan	None	S1
brenneri	0.0	0.0	0	S2
"brihuegai"""	nan	nan	None	None
broomii	1.0	100.0	0100.0	P2
chreensis	0.0	0.0	0	S1
congkakensis	nan	nan	None	S1
dzianensis	nan	nan	None	None
dzoumogneensis	nan	nan	None	P2
ellinghausenii	0.0	0.0	0	S1
ellisii	nan	nan	None	P1
fainei	1.0	100.0	0100.0	P2
fletcheri	1.0	100.0	0100.0	P2
fluminis	1.0	100.0	0100.0	None
gomenensis	nan	nan	None	P1
haakeii	nan	nan	None	P2
harrisiae	0.0	0.0	0	S1
hartskeerlii	1.0	100.0	0100.0	P2
"icteroides"""	nan	nan	None	None
idonii	0.0	0.0	0	S2
ilyithenensis	0.0	0.0	0	S2
inadai	1.0	100.0	0100.0	P2
interrogans	1.0	100.0	0100.0	P1
jelokensis	nan	nan	None	S1
johnsonii	1.0	100.0	0100.0	P2
kanakyensis	nan	nan	None	S1
kemamanensis	nan	nan	None	S1
kirschneri	1.0	100.0	0100.0	P1
kmetyi	1.0	100.0	0100.0	P1
kobayashii	0.0	0.0	0	S2
koniambonensis	nan	nan	None	P2
langatensis	1.0	100.0	0100.0	P2
levettii	0.0	0.0	0	S1
licerasiae	1.0	100.0	0100.0	P2
macculloughii	0.0	0.0	0	None
"macculloughii"""	nan	nan	None	None
mayottensis	1.0	100.0	0100.0	P1
meyeri	0.0	0.0	0	S1
montravelensis	nan	nan	None	S1
mtsangambouensis	nan	nan	None	S1
neocaledonica	1.0	100.0	0100.0	P2
noguchii	1.0	100.0	0100.0	P1
noumeaensis	nan	nan	None	S1
ognonensis	nan	nan	None	S2
parva	0.0	0.0	0	None
perdikensis	nan	nan	None	S1
perolatii	0.0	0.0	0	P2
putramalaysiae	nan	nan	None	None
ryugenii	0.0	0.0	0	S2
saintgironsiae	1.0	100.0	0100.0	P2
santarosai	1.0	100.0	0100.0	P1
sarikeiensis	nan	nan	None	P2
selangorensis	1.0	100.0	0100.0	P2
semungkisensis	nan	nan	None	P2
stimsonii	1.0	100.0	0100.0	P1
terpstrae	0.0	0.0	0	S1
tipperaryensis	1.0	100.0	0100.0	P1
vanthielii	0.0	0.0	0	S1
venezuelensis	1.0	100.0	0100.0	P2
weilii	1.0	100.0	0100.0	P1
wolbachii	0.0	0.0	0	S1
wolffii	1.0	100.0	0100.0	P2
yanagawae	0.0	0.0	0	S1
yasudae	1.0	100.0	0100.0	P1
